game-relative path                                                     #packs  same-id?  packs
------------------------------------------------------------------------------------------------------------------------
archive/pc/mod/ArchV4.xl                                               2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 20 Vehicles - DennisReactive - GAME STRUCTURE
archive/pc/mod/BDF_DRe_Arch_V4.archive                                 2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 20 Vehicles - DennisReactive - GAME STRUCTURE
archive/pc/mod/CORNMILF_Jeep_Grand_Cherokee_Trackhawk.archive          2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/KRNLNIK_Ford_Mustang_Boss_302.archive                   2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/KRNLNIK_Ford_Mustang_Boss_302_Gunmetal_Grey_Black.archive 2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/KRNLNIK_Mazda_Rx7_FD_Widebody.archive                   2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/KRNLNIK_Mazda_Rx7_FD_Widebody_White_Red.archive         2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/KRNLNIK_Mercedes_190E_Evolution_II.archive              2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/KRNLNIK_Mercedes_190E_Evolution_II_Silver.archive       2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/NUT_johnnyhairedits_CCXL.archive                        2       IDENTICAL 03 CCXL Eyes & Cosmetics - GAME STRUCTURE, 05 CCXL Hair Collection - GAME STRUCTURE
archive/pc/mod/NUT_johnnyhairedits_CCXL.xl                             2       IDENTICAL 03 CCXL Eyes & Cosmetics - GAME STRUCTURE, 05 CCXL Hair Collection - GAME STRUCTURE
archive/pc/mod/NUT_mullet_collection_CCXL.archive                      2       IDENTICAL 03 CCXL Eyes & Cosmetics - GAME STRUCTURE, 05 CCXL Hair Collection - GAME STRUCTURE
archive/pc/mod/NUT_mullet_collection_CCXL.xl                           2       IDENTICAL 03 CCXL Eyes & Cosmetics - GAME STRUCTURE, 05 CCXL Hair Collection - GAME STRUCTURE
archive/pc/mod/jeep_cherokee_trackhawk.xl                              2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
archive/pc/mod/mercedes_benz_190e_evo2.xl                              2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 09 Vehicles - Cornmilf - GAME STRUCTURE
